Name,Due Date,Status,Priority,Workstream,Outcome,Details
"Deploy decision and hosted smoke","2026-05-18","Done","High","Release","Current public deployment is deployed and smoke-tested","Final production deploy dpl_DfbzrJq54MMsf7anhc2xLFwpBvKp is aliased to https://classloop-followup.vercel.app, serves fingerprinted assets /assets/index-CkXZY_H5.js and /assets/index-BgBlv9cx.css, and passed npm run test:web plus npm run test:web:local."
"Legal/public signup readiness","2026-05-19","Done","High","Legal","Public signup gate has founder-authored terms and remains gated for real hosted student data","Founder-authored Terms, Privacy Policy, support contact, Desktop EULA, retention/deletion expectations, and child-safety language are in repo/public routes. Keep durable hosted signups sample-only until attorney/district review."
"Desktop release package","2026-05-20","Not started","High","Distribution","Teacher can download/install with clear expectations","Package macOS, generate checksums, confirm download fallback/URLs, and update install guidance for unsigned/ad-hoc builds."
"Backend production config","2026-05-21","Not started","High","Backend","Supabase/Stripe setup has a verified production path","Verify Supabase/Stripe env setup plan, webhook test path, credential-absent desktop behavior, and free-first external-services boundaries."
"Support and privacy-safe logging","2026-05-22","Not started","High","Support","Failures are recoverable and logs are useful without exposing private data","Confirm visible recovery for bad transcripts, malformed URLs, sync/API outage, package init failure, and storage corruption. Confirm logs avoid classroom/account payloads."
"Alpha field rehearsal","2026-05-23","Not started","High","QA","Three realistic teacher/student scenarios pass end to end","Run import, review, approve, publish, student dashboard, completion, and teacher review for at least three realistic session types."
"Fix alpha blockers","2026-05-24","Not started","High","Engineering","No known correctness or trust blockers remain from alpha rehearsal","Fix correctness or trust issues, then run npm run test:all again."
"Hosted PWA polish","2026-05-25","Not started","Medium","Frontend","Hosted mobile/PWA shell is launch-ready","Re-test landing, routes, downloads, add-to-home-screen, service worker, manifest, mobile readability, and sample-only demo boundaries."
"Entitlements and billing","2026-05-26","Not started","High","Billing","Free/Pro boundaries are trustworthy","Verify free/paid boundaries, locked unpaid UI, upgrade/downgrade flows, and webhook-owned entitlement updates."
"State resilience","2026-05-27","Not started","High","Desktop","Local data survives realistic failures without cross-user leakage","Re-run encrypted local state, crash recovery, backup/restore, repeated imports, 100+ student roster, and no cross-user/project leakage checks."
"Accessibility finish","2026-05-28","Not started","Medium","Accessibility","ClassLoop is usable by keyboard, screen reader users, and phone/PWA users","Run keyboard navigation, focus order, contrast, labels/announcements, and phone-width readability checks. Fix blockers."
"Ops runbooks","2026-05-29","Done","Medium","Operations","Bad releases and outages have a practiced response","npm run drill:ops passed rollback and incident drills, including bad-release quarantine, sync/auth/billing outage behavior, parser regression response, and support triage coverage."
"Public beta packet","2026-05-30","Done","Medium","Launch","Teacher-facing launch material is ready","Prepared docs/public-beta-packet.md, updated the teacher alpha script, and verified hosted smoke, release distribution, ops drills, and public download/support/legal routes."
"Low-babysitting review","2026-05-31","Not started","High","Launch","Product has a clear weekly maintenance cadence and known limits","Confirm green gates, known limits, support loop, weekly maintenance cadence, and what still needs a human before broader public signups."
"Ship or hold","2026-06-01","Not started","High","Launch","Public beta ships only if core gates are green","Ship if hosted smoke, package checks, legal gate, support loop, and alpha trust criteria are green. Otherwise hold with a one-page blocker list."
